ProductionID,CountryID,MineralID,Year,Production_tonnes,ExportValue_BillionUSD
1,1,1,2023,170000,2.4
2,1,1,2024,175000,2.5
3,4,2,2023,769086,0.794
4,3,3,2023,96000,0.0328
5,7,3,2023,10000,0.0282
6,2,4,2023,7300000,2.663
7,6,4,2023,4490000,1.8
8,5,4,2023,818000,0.314
