CountryID,CountryName,GDP_BillionUSD,MiningRevenue_BillionUSD,KeyProjects
1,Democratic Republic of Congo,79,18.0,Tenke Fungurume; Mutanda; Kamoto; Kamoa-Kakula
2,South Africa,400,32.0,N'Chwaning/Kalahari Manganese; PGM belt
3,Mozambique,25,2.6,Balama Graphite; Moma Heavy Sands; Moatize Coal
4,Zimbabwe,18,5.6,Bikita Lithium; Arcadia Lithium; Unki PGM
5,Ghana,75,5.0,Nsuta Manganese
6,Gabon,24,3.2,Mibango Manganese
7,Madagascar,13,0.5,Graphite Projects
